ibge,uf,municipio,nivel_verificacao,ultima_verificacao,plano_localizado,decreto_reconhecido,decreto_homologado
1600600,AP,Santana,nacional,2026-09-03,nao_el_nino,,
1600055,AP,Serra do Navio,nacional,2026-09-03,,,
1600709,AP,Tartarugalzinho,nacional,2026-09-03,,,
1600808,AP,Vitória do Jari,nacional,2026-09-03,,,
2900207,BA,Abaré,nacional,2026-09-03,,,
2900108,BA,Abaíra,nacional,2026-09-03,,,
2900306,BA,Acajutiba,nacional,2026-09-03,,,
2900355,BA,Adustina,nacional,2026-09-03,,,
2900603,BA,Aiquara,nacional,2026-09-03,,,
2900702,BA,Alagoinhas,nacional,2026-09-03,,,
2900801,BA,Alcobaça,nacional,2026-09-03,,,
2900900,BA,Almadina,nacional,2026-09-03,,,
2901007,BA,Amargosa,nacional,2026-09-03,,,
2901106,BA,Amélia Rodrigues,nacional,2026-09-03,,,
2901155,BA,América Dourada,nacional,2026-09-03,,,
2901205,BA,Anagé,nacional,2026-09-03,,,
2901304,BA,Andaraí,nacional,2026-09-03,,,
2901353,BA,Andorinha,nacional,2026-09-03,,,
2901403,BA,Angical,nacional,2026-09-03,,,
2901502,BA,Anguera,nacional,2026-09-03,,,
2901601,BA,Antas,nacional,2026-09-03,,,
2901700,BA,Antônio Cardoso,nacional,2026-09-03,,,
2901809,BA,Antônio Gonçalves,nacional,2026-09-03,,,
2901908,BA,Aporá,nacional,2026-09-03,,,
2901957,BA,Apuarema,nacional,2026-09-03,,,
2902005,BA,Aracatu,nacional,2026-09-03,,,
2902104,BA,Araci,nacional,2026-09-03,,,
2902203,BA,Aramari,nacional,2026-09-03,,,
2902252,BA,Arataca,nacional,2026-09-03,,,
2902302,BA,Aratuípe,nacional,2026-09-03,,,
2902054,BA,Araças,nacional,2026-09-03,,,
2902401,BA,Aurelino Leal,nacional,2026-09-03,,,
2902500,BA,Baianópolis,nacional,2026-09-03,,,
2902609,BA,Baixa Grande,nacional,2026-09-03,,,
2902658,BA,Banzaê,nacional,2026-09-03,,,
2902708,BA,Barra,nacional,2026-09-03,,,
2902807,BA,Barra da Estiva,nacional,2026-09-03,,,
2902906,BA,Barra do Choça,nacional,2026-09-03,,,
2903003,BA,Barra do Mendes,nacional,2026-09-03,,,
2903102,BA,Barra do Rocha,nacional,2026-09-03,,,
