ibge,uf,regiao,municipio,populacao,porte,marcadores,controle,nivel_verificacao,instrumento_localizado,natureza,decreto_reconhecido
5105101,MT,Centro-Oeste,Juara,34906,pequeno_II,geo_hidrologico,False,nacional,,,
5106216,MT,Centro-Oeste,Nova Canaã do Norte,11707,pequeno_I,geo_hidrologico,False,nacional,,,
5106281,MT,Centro-Oeste,Novo São Joaquim,6919,pequeno_I,,True,nacional,,,
5106455,MT,Centro-Oeste,Planalto da Serra,3166,pequeno_I,,True,nacional,,,
5107040,MT,Centro-Oeste,Primavera do Leste,85146,medio,,True,nacional,,,
5107198,MT,Centro-Oeste,Ribeirãozinho,2593,pequeno_I,,True,nacional,,,
5107206,MT,Centro-Oeste,Rio Branco,4535,pequeno_I,,True,nacional,,,
5107602,MT,Centro-Oeste,Rondonópolis,244897,grande,,True,nacional,,,
5107776,MT,Centro-Oeste,Santa Terezinha,7596,pequeno_I,geo_hidrologico,False,nacional,,,
5107859,MT,Centro-Oeste,São Félix do Araguaia,13612,pequeno_I,geo_hidrologico,False,nacional,,,
5108501,MT,Centro-Oeste,Vera,12800,pequeno_I,,True,nacional,,,
1500503,PA,Norte,Almeirim,34280,pequeno_II,geo_hidrologico,False,nacional,,,
1500909,PA,Norte,Augusto Corrêa,44573,pequeno_II,,True,nacional,,,
1501303,PA,Norte,Barcarena,126650,grande,geo_hidrologico,False,nacional,,,
1501451,PA,Norte,Belterra,18099,pequeno_I,geo_hidrologico,False,nacional,,,
1502806,PA,Norte,Curralinho,33903,pequeno_II,,True,nacional,,,
1503457,PA,Norte,Ipixuna do Pará,30329,pequeno_II,geo_hidrologico,False,nacional,,,
1505601,PA,Norte,Peixe-Boi,8285,pequeno_I,,True,nacional,,,
1506138,PA,Norte,Redenção,85597,medio,geo_hidrologico,False,nacional,,,
1506203,PA,Norte,Salinópolis,44772,pequeno_II,geo_hidrologico,False,nacional,decreto,resposta,
1506401,PA,Norte,Santa Cruz do Arari,7445,pequeno_I,geo_hidrologico,False,nacional,,,
1507706,PA,Norte,São Sebastião da Boa Vista,25643,pequeno_II,,True,nacional,,,
1508407,PA,Norte,Xinguara,52893,medio,,True,nacional,,,
2502706,PB,Nordeste,Borborema,4214,pequeno_I,,True,nacional,,,
2503209,PB,Nordeste,Cabedelo,66519,medio,geo_hidrologico,False,nacional,,,
2504009,PB,Nordeste,Campina Grande,419379,grande,geo_hidrologico,False,nacional,plano_elaboracao,ex_ante,
2504074,PB,Nordeste,Caraúbas,3944,pequeno_I,,True,nacional,,,True
2504108,PB,Nordeste,Carrapateira,2312,pequeno_I,,True,nacional,,,
2506905,PB,Nordeste,Itabaiana,23182,pequeno_II,geo_hidrologico,False,nacional,,,
2508604,PB,Nordeste,Lucena,12560,pequeno_I,geo_hidrologico,False,nacional,,,
2513851,PB,Nordeste,Santo André,2622,pequeno_I,,True,nacional,decreto,resposta,
2514701,PB,Nordeste,São José do Sabugi,4138,pequeno_I,,True,nacional,decreto,resposta,
2515104,PB,Nordeste,São Sebastião de Lagoa de Roça,11040,pequeno_I,,True,nacional,,,
2516300,PB,Nordeste,Sumé,17166,pequeno_I,,True,nacional,,,
2516706,PB,Nordeste,Teixeira,14631,pequeno_I,,True,nacional,,,
2601607,PE,Nordeste,Belém do São Francisco,18301,pequeno_I,,True,nacional,,,
2605202,PE,Nordeste,Escada,59836,medio,geo_hidrologico,False,nacional,,,
2606002,PE,Nordeste,Garanhuns,142506,grande,geo_hidrologico,False,nacional,,,
